SpeciesID,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
PIPO01,587,583,533,465,499,449,522,425,485,480,489,409,443,357,426,339
PIPO02,739,733,697,651,671,625,663,574,610,582,596,510,539,466,543,472
PIPO03,756,753,730,697,715,674,674,565,618,624,632,546,581,514,586,508
PIPO04,687,645,595,524,449,418,385,361,343,333,330,327,324,X,X,X
PIPO05,771,743,714,681,636,595,528,495,474,450,426,412,397,X,X,X
PIPO06,740,717,697,671,645,619,576,496,469,437,416,400,365,X,X,X
PIPO07,784,743,693,620,531,497,466,437,419,407,400,398,395,X,X,X
PIPO08,690,649,583,517,459,432,411,364,345,328,323,322,320,X,X,X
PIPO09,660,664,635,599,611,571,581,504,537,541,554,475,521,439,499,425
PIPO10,652,616,578,525,459,430,403,358,334,323,321,320,319,X,X,X
PIPO11,650,616,582,537,477,441,416,382,364,345,323,313,311,311,X,X
PIPO12,703,663,614,552,477,451,421,389,377,356,350,349,346,X,X,X
PIPO13,753,727,703,665,631,590,549,468,436,407,390,377,361,X,X,X
PIPO14,711,673,637,586,525,492,460,425,377,357,353,352,350,X,X,X
PIPO15,699,688,663,634,646,605,627,570,595,576,580,516,532,X,X,X
PIPO16,665,621,556,485,422,393,366,336,325,324,322,322,321,X,X,X
PIPO17,676,652,616,577,520,465,431,400,374,346,323,322,320,320,X,X
PIPO18,762,761,739,714,723,688,694,587,637,631,615,559,593,516,566,506
PIPO19,760,732,695,640,600,558,507,450,430,408,391,381,376,375,X,X
PIPO20,652,627,595,550,505,477,438,383,369,338,333,332,331,X,X,X
PIPO21,691,649,597,522,456,432,408,372,354,347,345,343,342,X,X,X
PIPO22,729,706,679,643,606,565,511,459,434,412,388,369,335,X,X,X
PIPO23,697,657,605,542,461,423,389,342,342,340,339,338,338,X,X,X
PIPO24,698,689,621,553,533,490,603,501,577,539,549,461,496,414,479,407
PIPO25,737,712,683,650,610,585,542,470,446,428,412,395,359,X,X,X
PIPO26,521,499,472,444,412,397,385,369,359,350,346,345,343,X,X,X
PIPO27,704,664,623,551,483,452,427,384,362,354,353,352,350,X,X,X
PIPO28,564,493,416,335,303,290,284,269,269,268,266,265,264,X,X,X
PIPO29,732,693,650,597,541,510,480,426,402,376,369,368,366,X,X,X
PIPO30,517,495,470,433,406,386,364,327,313,307,306,305,303,X,X,X
PIPO31,697,650,617,571,523,501,460,391,370,337,328,326,325,X,X,X
PIPO32,718,691,659,622,571,536,493,456,436,407,380,361,353,354,353,X
PIPO33,739,714,684,651,619,591,546,470,447,423,401,383,358,355,356,355
PIPO34,661,637,601,557,508,474,427,373,354,325,316,314,314,X,X,X
PIPO35,712,723,685,628,656,613,642,520,614,606,581,517,555,475,560,474
PIPO36,721,701,670,645,616,591,556,483,454,427,412,392,369,X,X,X
PIPO37,507,482,453,414,370,353,339,321,310,307,307,306,305,X,X,X
PIPO38,597,562,522,469,408,381,354,320,293,286,284,283,281,X,X,X
PIPO39,775,738,693,644,574,543,510,463,435,409,385,379,378,378,X,X
PIPO40,688,639,578,505,440,416,396,361,352,350,348,347,345,X,X,X
PIPO41,800,796,750,696,733,687,715,600,685,657,643,591,632,563,628,565
PIPO42,680,622,559,477,414,392,369,351,351,350,347,347,344,X,X,X
PIPO43,722,688,650,598,534,498,470,430,406,371,358,356,354,354,X,X
PIPO44,693,660,629,586,532,495,461,421,397,369,347,338,336,336,X,X
PIPO45,642,603,562,508,445,420,397,367,328,306,304,302,301,X,X,X
PIPO46,672,641,604,554,482,462,439,411,385,359,341,323,320,320,319,X
PIPO47,647,610,566,512,447,420,392,364,338,312,309,307,305,X,X,X
PIPO48,703,701,653,594,620,580,629,516,583,571,577,517,551,476,558,475
PIPO49,723,702,672,632,583,545,505,469,447,422,397,375,355,354,354,X
PIPO50,726,671,623,558,483,452,424,388,368,364,362,361,358,X,X,X
