SpeciesID,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5
PIED24,10%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,NA,10%,10%,10%,10%,25%,25%,NA,NA,25%
PIED25,25%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,25%,25%,25%,50%,50%,50%,50%,75%,50%,75%,75%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X
PIED26,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,25%,75%,50%,75%,75%,50%,75%,75%,75%,NA,90%,90%,90%,90%,X,X,X,X,X
PIED27,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,50%,50%,50%,75%,75%,50%,75%,75%,NA,X,X,X,X,X,X,X,X,X,X
PIED28,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,10%,10%,25%,25%,25%,25%,50%,75%,75%,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED29,10%,25%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,25%,50%,50%,50%,50%,75%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED30,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,25%,25%,25%,50%,50%,50%,50%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED31,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,25%,25%,25%,25%,50%,50%,75%,75%,50%,75%,75%,75%,75%,75%,75%,NA,90%,90%,90%,90%,X,X,X,X,X
PIED32,10%,25%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,50%,25%,50%,50%,50%,75%,75%,75%,90%,90%,NA,X,X,X,X,X,X,X,X,X,X
PIED33,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,25%,25%,25%,50%,50%,50%,75%,75%,75%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X
PIED34,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,10%,10%,NA,10%,10%,10%,25%,25%,25%,25%,50%,75%,75%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED35,10%,25%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,10%,10%,25%,25%,25%,NA,25%,25%,50%,50%,50%,75%,75%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED36,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,NA,NA,10%
PIED37,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,NA,10%,10%,10%,25%,10%,50%,50%,50%,75%,75%,75%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED38,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,25%,25%,25%,50%,50%,75%,50%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED39,10%,25%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,75%,50%,90%,90%,90%,NA,X,X,X,X,X,X,X,X,X,X
PIED40,10%,25%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,NA,75%,75%,90%,90%,NA,NA,X,X,X
PIED41,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,NA,50%,75%,75%,75%,75%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED42,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,25%,10%,25%,10%,25%,10%,25%,25%,25%,10%,10%,NA,10%,10%,10%,10%,10%,10%,NA,NA,25%
PIED43,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,75%,75%,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED44,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,10%,25%,10%,10%,10%,NA,10%,10%,10%,25%,10%,25%,25%,25%,50%,50%,50%,75%,75%,75%,90%,75%,NA,90%,90%,90%,90%,X,X,X,X,X
PIED45,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,NA,50%,75%,75%,75%,75%,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED46,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,25%,10%,10%,10%,25%,25%,50%,50%,75%,75%,NA,X,X,X,X,X,X,X,X,X,X
PIED47,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,25%,10%,10%,10%,NA,10%,10%,25%,50%,50%,75%,75%,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED48,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,50%,50%,50%,75%,50%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED49,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,50%,50%,50%,75%,75%,75%,NA,90%,90%,90%,90%,X,X,X,X,X
