Phase,Chamber,ScientificName,CommonName,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,SampleSize_Weekly_Weight,BasalDia_mm,Height_mm,Whorls,Biomass_g,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,WeightMin,WeightMax,Weight_Est,WaterWeight_Base,WaterWeight_Calc,PercentWater,SD_Weight_Total,SD_Weight_Water,Stress_to_Dead_Weight,Stress_Week_Weight,Stress_Week_Avg_Weight
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,1,760,156,10,alive,0,Pinyon Pine,no,NA,NA,760,NA,NA,NA,43.872542666228,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,2,752,162,10,alive,0,Pinyon Pine,no,NA,NA,752,NA,NA,NA,45.4059467470947,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,3,709,229.3,10,alive,0,Pinyon Pine,no,NA,NA,709,NA,NA,NA,67.0164158993899,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,4,661,NA,10,alive,0,Pinyon Pine,no,NA,NA,661,NA,NA,NA,99.6353350975446,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,5,675,140.5,10,alive,0,Pinyon Pine,no,NA,NA,675,NA,NA,NA,100.478853496644,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,6,629,95.2,10,alive,0,Pinyon Pine,no,NA,NA,629,NA,NA,NA,103.50362312499,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,7,679,93.9,10,alive,0,Pinyon Pine,no,NA,NA,679,NA,NA,NA,83.5505834809069,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,8,587,103.9,10,alive,0,Pinyon Pine,no,NA,NA,587,NA,NA,NA,98.508882848198,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,9,657,76.6,10,alive,0,Pinyon Pine,no,NA,NA,657,NA,NA,NA,92.2713389953782,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,10,616,114,10,alive,0,Pinyon Pine,no,NA,NA,616,NA,NA,NA,86.6562173187822,NA,NA,NA,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,5,6.76,231,5,9.3,11,602,181.7,10,alive,0,Pinyon Pine,no,NA,NA,602,NA,NA,NA,87.0936277806821,NA,NA,NA,4.32148659959598
