Phase,Chamber,ScientificName,CommonName,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,SampleSize_Weekly_Weight,BasalDia_mm,Height_mm,Whorls,Biomass_g,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,WeightMin,WeightMax,Weight_Est,WaterWeight_Base,WaterWeight_Calc,PercentWater,SD_Weight_Total,SD_Weight_Water,Stress_to_Dead_Weight,Stress_Week_Weight,Stress_Week_Avg_Weight
1,1,Pinus edulis,Pinyon Pine,PIED,PIED15,Ambient_HW,Watered,yes,0,5.58,276,3,NA,18,NA,48.4,NA,alive,0,Pinyon Pine_heatwave,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED15,Ambient_HW,Watered,yes,4,5.58,276,3,NA,19,485,NA,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,485,NA,NA,NA,23.7276210354093,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED15,Ambient_HW,Watered,yes,5,5.58,276,3,NA,20,440,NA,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,440,NA,NA,NA,45.2249930901045,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED15,Ambient_HW,Watered,yes,5,5.58,276,3,NA,21,523,105.5,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,523,NA,NA,NA,45.7580593994107,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED15,Ambient_HW,Watered,yes,5,5.58,276,3,NA,22,433,NA,NA,alive,0,Pinyon Pine_heatwave,yes,NA,NA,433,NA,NA,NA,93.0816845571673,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,1,736,176.4,10,alive,0,Pinyon Pine_heatwave,yes,382,736,736,354,354,100,50.4970035588356,24.7015874196909,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,2,698,331.1,10,alive,0,Pinyon Pine_heatwave,yes,382,736,698,354,316,89.2655367231638,52.1158628240456,33.8990762178124,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,3,632,342,10,alive,0,Pinyon Pine_heatwave,yes,382,736,632,354,250,70.6214689265537,60.6959636219741,49.7373099393202,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,4,569,317.9,10,alive,0,Pinyon Pine_heatwave,yes,382,736,569,354,187,52.8248587570621,71.1547424169398,63.5020720756003,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,5,517,262.1,10,alive,0,Pinyon Pine_heatwave,yes,382,736,517,354,135,38.135593220339,70.156573012385,60.5546947199933,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,6,489,99.4,10,alive,0,Pinyon Pine_heatwave,yes,382,736,489,354,107,30.225988700565,65.2326000191864,53.8900195817956,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,7,454,172.8,10,alive,0,Pinyon Pine_heatwave,yes,382,736,454,354,72,20.3389830508475,57.9624197671488,42.3425877438083,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,8,417,57.6,10,alive,0,Pinyon Pine_heatwave,yes,382,736,417,354,35,9.88700564971751,44.4217526135919,18.9222091733497,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,9,407,55.7,10,alive,0,Pinyon Pine_heatwave,yes,382,736,407,354,25,7.06214689265537,43.1483365538977,15.2163347132371,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,10,397,88.1,10,alive,0,Pinyon Pine_heatwave,yes,382,736,397,354,15,4.23728813559322,41.7232422921376,12.296661934722,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,11,388,56.3,25,alive,0,Pinyon Pine_heatwave,yes,382,736,388,354,6,1.69491525423729,41.8073274866852,10.0551112951521,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,12,386,62.6,75,alive,0,Pinyon Pine_heatwave,yes,382,736,386,354,4,1.12994350282486,40.5019817578818,7.63923391033696,10.2499687334975,2.75003126650251,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED16,Ambient_HW,Drought,yes,20,4.21,260,4,4.83,13,384,56.1,75,dead,1,Pinyon Pine_heatwave,yes,382,736,384,354,2,0.564971751412429,39.8582686396106,4.51750979377379,10.2499687334975,2.75003126650251,3.79323880382056
