Species,SpeciesID,week_1.0,week_1.5,week_2.0,week_2.5,week_3.0,week_3.5,week_4.0,week_4.5,week_5.0,week_5.5,week_6.0,week_6.5,week_7.0,week_7.5,week_8.0,week_8.5,week_9.0,week_9.5,week_10.0,week_10.5,week_11.0,week_11.5,week_12.0,week_12.5,week_13.0,week_13.5,week_14.0,week_14.5,week_15.0,week_15.5,week_16.0,week_16.5,week_17.0,week_17.5,week_18.0,week_18.5,week_19.0,week_19.5,week_20.0,week_20.5,week_21.0,week_21.5,week_22.0,week_22.5
PIED,PIED01,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,NA,NA,25%
PIED,PIED02,10%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,50%,50%,50%,50%,75%,75%,90%,90%,75%,90%,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED03,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,10%,25%,25%,25%,75%,50%,50%,50%,75%,50%,NA,75%,75%,75%,75%,75%,X,X,X,X
PIED,PIED04,25%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,50%,25%,25%,50%,50%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED05,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,NA,10%,10%,10%,25%,25%,25%,10%,25%,25%,25%,50%,50%,75%,75%,75%,75%,NA,90%,90%,90%,90%,X,X,X,X,X
PIED,PIED06,25%,25%,10%,10%,10%,25%,10%,10%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,25%,25%,50%,25%,50%,75%,50%,75%,75%,50%,NA,75%,75%,75%,75%,90%,X,X,X,X
PIED,PIED07,10%,25%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,10%,25%,10%,25%,25%,25%,25%,50%,25%,25%,50%,50%,50%,50%,NA,50%,50%,75%,90%,X,X,X,X,X
PIED,PIED08,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,10%,10%,10%,25%,25%,25%,10%,25%,25%,25%,50%,50%,25%,50%,25%,25%,NA,25%,25%,50%,50%,50%,50%,NA,NA,50%
PIED,PIED09,25%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,50%,75%,75%,75%,75%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED10,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,NA,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,10%,NA,10%,10%,10%,10%,10%,10%,NA,NA,10%
PIED,PIED11,25%,25%,10%,25%,10%,25%,25%,25%,50%,50%,50%,50%,50%,75%,75%,75%,75%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED12,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,25%,25%,25%,75%,50%,75%,75%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED13,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,25%,25%,25%,25%,NA,75%,50%,50%,75%,75%,75%,75%,75%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED14,10%,25%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,50%,50%,50%,25%,50%,50%,50%,50%,50%,75%,75%,90%,75%,75%,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED15,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,25%,10%,10%,25%,25%,25%,25%,25%,25%,25%,10%,NA,10%,10%,10%,10%,25%,10%,NA,NA,25%
PIED,PIED16,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,25%,50%,75%,75%,75%,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED17,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,25%,25%,10%,NA,10%,10%,10%,10%,10%,10%,NA,NA,10%
PIED,PIED18,25%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,25%,25%,50%,50%,75%,50%,75%,75%,75%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED19,25%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,75%,75%,NA,90%,90%,90%,90%,X,X,X,X,X
PIED,PIED20,25%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,NA,10%,10%,25%,25%,50%,25%,NA,NA,25%
PIED,PIED21,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,25%,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,NA,25%,25%,75%,75%,90%,75%,NA,NA,90%
PIED,PIED22,10%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,10%,25%,10%,10%,10%,NA,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,NA,10%,10%,10%,25%,25%,25%,NA,NA,25%
PIED,PIED23,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,25%,10%,10%,10%,NA,10%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,75%,75%,NA,90%,90%,90%,90%,X,X,X,X,X
PIED,PIED24,10%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,NA,10%,10%,10%,10%,25%,25%,NA,NA,25%
PIED,PIED25,25%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,25%,25%,25%,50%,50%,50%,50%,75%,50%,75%,75%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED26,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,25%,75%,50%,75%,75%,50%,75%,75%,75%,NA,90%,90%,90%,90%,X,X,X,X,X
