Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30
PSME,PSME90,10%,10%,10%,25%,25%,25%,50%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME91,10%,10%,10%,10%,10%,10%,75%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME92,10%,10%,10%,10%,10%,25%,75%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME93,10%,10%,10%,10%,10%,25%,25%,50%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME94,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%
PSME,PSME95,10%,10%,10%,25%,50%,50%,75%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME96,10%,10%,10%,25%,50%,50%,75%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME97,10%,25%,25%,50%,75%,75%,75%,75%,75%,75%,75%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME98,10%,10%,10%,25%,25%,25%,75%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME99,10%,10%,10%,25%,25%,25%,25%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%
