Phase,Chamber,Heatwave,Time,Temperature_avg,Kestrel
1,3,no,0100,10.3,actual
1,3,no,0130,10.2,actual
1,3,no,0200,10.1,actual
1,3,no,0230,9.6,actual
1,3,no,0300,8.9,actual
1,3,no,0330,8.1,actual
1,3,no,0400,7.5,actual
1,3,no,0430,6.8,actual
1,3,no,0500,6.1,actual
1,3,no,0530,5.3,actual
1,3,no,0600,4.9,actual
1,3,no,0630,5.3,actual
1,3,no,0700,6.4,actual
1,3,no,0730,7.6,actual
1,3,no,0800,8.9,actual
1,3,no,0830,10.4,actual
1,3,no,0900,11.9,actual
1,3,no,0930,13.1,actual
1,3,no,1000,14.2,actual
1,3,no,1030,15.2,actual
1,3,no,1100,16.3,actual
1,3,no,1130,17.5,actual
1,3,no,1200,18.8,actual
1,3,no,1230,19.2,actual
1,3,no,1300,18.9,actual
1,3,no,1330,18.4,actual
1,3,no,1400,17.8,actual
1,3,no,1430,17.2,actual
1,3,no,1500,16.6,actual
1,3,no,1530,16,actual
1,3,no,1600,15.4,actual
1,3,no,1630,14.8,actual
1,3,no,1700,14.1,actual
1,3,no,1730,13.5,actual
1,3,no,1800,12.8,actual
1,3,no,1830,12.4,actual
1,3,no,1900,12.2,actual
1,3,no,1930,12.1,actual
1,3,no,2000,12.1,actual
1,3,no,2030,12.1,actual
1,3,no,2100,12,actual
1,3,no,2130,12,actual
1,3,no,2200,12,actual
1,3,no,2230,12,actual
1,3,no,2300,12,actual
1,3,no,2330,12,actual
1,3,yes,0000,21.8,actual
1,3,yes,0030,19.6,actual
1,3,yes,0100,19.5,actual
1,3,yes,0130,19.5,actual
1,3,yes,0200,19.5,actual
1,3,yes,0230,18.6,actual
1,3,yes,0300,17.6,actual
1,3,yes,0330,17,actual
1,3,yes,0400,16.3,actual
1,3,yes,0430,15.7,actual
1,3,yes,0500,15.4,actual
1,3,yes,0530,14.6,actual
1,3,yes,0600,13.9,actual
1,3,yes,0630,14.7,actual
1,3,yes,0700,15.6,actual
1,3,yes,0730,16.5,actual
1,3,yes,0800,17.7,actual
1,3,yes,0830,19.4,actual
1,3,yes,0900,21.1,actual
1,3,yes,0930,23,actual
1,3,yes,1000,24.8,actual
1,3,yes,1030,25.3,actual
1,3,yes,1100,25.4,actual
1,3,yes,1130,27,actual
1,3,yes,1200,28.9,actual
1,3,yes,1230,28.7,actual
1,3,yes,1300,28,actual
1,3,yes,1330,27.3,actual
1,3,yes,1400,26.8,actual
1,3,yes,1430,26.1,actual
1,3,yes,1500,25.6,actual
1,3,yes,1530,25,actual
1,3,yes,1600,24.4,actual
1,3,yes,1630,23.8,actual
1,3,yes,1700,23.6,actual
1,3,yes,1730,22.8,actual
1,3,yes,1800,21.8,actual
1,3,yes,1830,21.7,actual
1,3,yes,1900,21.6,actual
1,3,yes,1930,21.4,actual
1,3,yes,2000,21.3,actual
1,3,yes,2030,21.3,actual
1,3,yes,2100,21.3,actual
1,3,yes,2130,21.3,actual
1,3,yes,2200,21.3,actual
1,3,yes,2230,21.3,actual
1,3,yes,2300,21.5,actual
1,3,yes,2330,21.6,actual
1,1,no,0000,21.1,calculated
1,1,no,0130,19.1,calculated
1,1,no,0200,17.3,calculated
1,1,no,0300,15.6,calculated
1,1,no,0430,12.8,calculated
1,1,no,0600,10,calculated
1,1,no,0730,14.5,calculated
1,1,no,0900,16.5,calculated
1,1,no,1030,19,calculated
1,1,no,1200,28.1,calculated
1,1,no,1330,27.2,calculated
1,1,no,1500,26.3,calculated
1,1,no,1630,25.5,calculated
1,1,no,1800,24.6,calculated
1,1,no,1900,23.7,calculated
1,1,no,2100,22.9,calculated
1,1,no,2300,22,calculated
1,1,yes,0000,31.1,calculated
1,1,yes,0130,29.1,calculated
1,1,yes,0200,27.3,calculated
1,1,yes,0300,25.6,calculated
1,1,yes,0430,22.8,calculated
1,1,yes,0600,20,calculated
1,1,yes,0730,24.5,calculated
1,1,yes,0900,26.5,calculated
1,1,yes,1030,29,calculated
1,1,yes,1200,38.1,calculated
1,1,yes,1330,37.2,calculated
1,1,yes,1500,36.3,calculated
1,1,yes,1630,35.5,calculated
1,1,yes,1800,34.6,calculated
1,1,yes,1900,33.7,calculated
1,1,yes,2100,32.9,calculated
1,1,yes,2300,32,calculated
1,2,no,0000,14.8,calculated
1,2,no,0130,12.7,calculated
1,2,no,0200,11.7,calculated
1,2,no,0300,10.6,calculated
1,2,no,0430,8.5,calculated
1,2,no,0600,6.4,calculated
1,2,no,0730,10.5,calculated
1,2,no,0900,14.6,calculated
1,2,no,1030,18.7,calculated
1,2,no,1200,22.8,calculated
1,2,no,1330,20.8,calculated
1,2,no,1500,18.8,calculated
1,2,no,1630,16.8,calculated
1,2,no,1800,14.8,calculated
1,2,no,1900,14.8,calculated
1,2,no,2100,14.8,calculated
1,2,no,2300,14.8,calculated
1,2,yes,0000,24.8,calculated
1,2,yes,0130,22.7,calculated
1,2,yes,0200,21.7,calculated
1,2,yes,0300,20.6,calculated
1,2,yes,0430,18.5,calculated
1,2,yes,0600,16.4,calculated
1,2,yes,0730,20.5,calculated
1,2,yes,0900,24.6,calculated
1,2,yes,1030,28.7,calculated
1,2,yes,1200,32.8,calculated
1,2,yes,1330,30.8,calculated
1,2,yes,1500,28.8,calculated
1,2,yes,1630,26.8,calculated
1,2,yes,1800,24.8,calculated
1,2,yes,1900,24.8,calculated
1,2,yes,2100,24.8,calculated
1,2,yes,2300,24.8,calculated
1,3,no,0000,14.2,calculated
1,3,no,0130,12.2,calculated
1,3,no,0200,11.2,calculated
1,3,no,0300,10.2,calculated
1,3,no,0430,8.2,calculated
1,3,no,0600,6.2,calculated
1,3,no,0730,10.2,calculated
1,3,no,0900,14.2,calculated
1,3,no,1030,18.2,calculated
1,3,no,1200,22.2,calculated
1,3,no,1330,20.2,calculated
1,3,no,1500,18.2,calculated
1,3,no,1630,16.2,calculated
1,3,no,1800,14.2,calculated
1,3,no,1900,14.2,calculated
1,3,no,2100,14.2,calculated
1,3,no,2300,14.2,calculated
1,3,yes,0000,24.2,calculated
1,3,yes,0130,22.2,calculated
1,3,yes,0200,21.2,calculated
1,3,yes,0300,20.2,calculated
1,3,yes,0430,18.2,calculated
1,3,yes,0600,16.2,calculated
1,3,yes,0730,20.2,calculated
1,3,yes,0900,24.2,calculated
1,3,yes,1030,28.2,calculated
1,3,yes,1200,32.2,calculated
1,3,yes,1330,30.2,calculated
1,3,yes,1500,28.2,calculated
1,3,yes,1630,26.2,calculated
1,3,yes,1800,24.2,calculated
1,3,yes,1900,24.2,calculated
1,3,yes,2100,24.2,calculated
1,3,yes,2300,24.2,calculated
