ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Weight_Est,WeightMin,WeightMax,WaterWeight_Base,WaterWeight_Calc,PercentWater
Pinus edulis,Pinyon Pine,PIED,14,Ambient,Drought,8,40,397,394,772,378,4,1
Pinus edulis,Pinyon Pine,PIED,14,Ambient,Watered,0,0,505,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,14,Ambient_HW,Drought,11,55,387,385,758,373,3,1
Pinus edulis,Pinyon Pine,PIED,14,Ambient_HW,Watered,0,0,466,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,15,Ambient,Drought,13,65,396,394,772,378,2,1
Pinus edulis,Pinyon Pine,PIED,15,Ambient,Watered,0,0,560,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,15,Ambient_HW,Drought,16,80,386,385,758,373,2,0
Pinus edulis,Pinyon Pine,PIED,15,Ambient_HW,Watered,0,0,519,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,16,Ambient,Drought,15,75,394,394,772,378,1,0
Pinus edulis,Pinyon Pine,PIED,16,Ambient,Watered,0,0,499,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,16,Ambient_HW,Drought,17,85,385,385,758,373,0,0
Pinus edulis,Pinyon Pine,PIED,16,Ambient_HW,Watered,0,0,455,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,17,Ambient,Drought,16,80,394,394,772,378,0,0
Pinus edulis,Pinyon Pine,PIED,17,Ambient,Watered,0,0,516,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,17,Ambient_HW,Drought,19,95,385,385,758,373,0,0
Pinus edulis,Pinyon Pine,PIED,17,Ambient_HW,Watered,0,0,469,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,18,Ambient,Drought,18,90,NA,394,772,378,NA,NA
Pinus edulis,Pinyon Pine,PIED,18,Ambient,Watered,0,0,NA,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,18,Ambient_HW,Drought,19,95,NA,385,758,373,NA,NA
Pinus edulis,Pinyon Pine,PIED,18,Ambient_HW,Watered,0,0,NA,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,19,Ambient,Drought,19,95,383,394,772,378,0,0
Pinus edulis,Pinyon Pine,PIED,19,Ambient,Watered,0,0,532,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,19,Ambient_HW,Drought,19,95,379,385,758,373,0,0
Pinus edulis,Pinyon Pine,PIED,19,Ambient_HW,Watered,0,0,508,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,20,Ambient,Drought,19,95,383,394,772,378,0,0
Pinus edulis,Pinyon Pine,PIED,20,Ambient,Watered,0,0,480,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,20,Ambient_HW,Drought,20,100,381,385,758,373,0,0
Pinus edulis,Pinyon Pine,PIED,20,Ambient_HW,Watered,0,0,448,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,21,Ambient,Drought,19,95,394,394,772,378,0,0
Pinus edulis,Pinyon Pine,PIED,21,Ambient,Watered,0,0,548,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,21,Ambient_HW,Drought,20,100,385,385,758,373,0,0
Pinus edulis,Pinyon Pine,PIED,21,Ambient_HW,Watered,0,0,529,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,22,Ambient,Drought,19,95,394,394,772,378,0,0
Pinus edulis,Pinyon Pine,PIED,22,Ambient,Watered,0,0,499,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,22,Ambient_HW,Drought,20,100,385,385,758,373,0,0
Pinus edulis,Pinyon Pine,PIED,22,Ambient_HW,Watered,0,0,469,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,1,Ambient,Drought,0,0,676,313,676,363,363,100
Picea engelmannii,Engelman Spruce,PIEN,1,Ambient,Watered,0,0,661,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,1,Ambient_HW,Drought,0,0,816,396,816,421,421,100
Picea engelmannii,Engelman Spruce,PIEN,1,Ambient_HW,Watered,0,0,813,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,2,Ambient,Drought,0,0,658,313,676,363,345,95
Picea engelmannii,Engelman Spruce,PIEN,2,Ambient,Watered,0,0,668,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,2,Ambient_HW,Drought,0,0,796,396,816,421,400,95
Picea engelmannii,Engelman Spruce,PIEN,2,Ambient_HW,Watered,0,0,825,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,3,Ambient,Drought,0,0,628,313,676,363,316,87
Picea engelmannii,Engelman Spruce,PIEN,3,Ambient,Watered,0,0,636,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,3,Ambient_HW,Drought,0,0,767,396,816,421,372,88
Picea engelmannii,Engelman Spruce,PIEN,3,Ambient_HW,Watered,0,0,792,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,4,Ambient,Drought,0,0,608,313,676,363,295,81
Picea engelmannii,Engelman Spruce,PIEN,4,Ambient,Watered,0,0,660,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,4,Ambient_HW,Drought,0,0,744,396,816,421,348,83
Picea engelmannii,Engelman Spruce,PIEN,4,Ambient_HW,Watered,0,0,817,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,5,Ambient,Drought,0,0,582,313,676,363,270,74
Picea engelmannii,Engelman Spruce,PIEN,5,Ambient,Watered,0,0,660,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,5,Ambient_HW,Drought,0,0,712,396,816,421,317,75
Picea engelmannii,Engelman Spruce,PIEN,5,Ambient_HW,Watered,0,0,815,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,6,Ambient,Drought,0,0,561,313,676,363,248,68
Picea engelmannii,Engelman Spruce,PIEN,6,Ambient,Watered,0,0,659,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,6,Ambient_HW,Drought,0,0,685,396,816,421,289,68
Picea engelmannii,Engelman Spruce,PIEN,6,Ambient_HW,Watered,0,0,810,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,7,Ambient,Drought,0,0,534,313,676,363,221,61
Picea engelmannii,Engelman Spruce,PIEN,7,Ambient,Watered,0,0,625,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,7,Ambient_HW,Drought,0,0,658,396,816,421,262,62
Picea engelmannii,Engelman Spruce,PIEN,7,Ambient_HW,Watered,0,0,774,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,8,Ambient,Drought,0,0,489,313,676,363,177,49
Picea engelmannii,Engelman Spruce,PIEN,8,Ambient,Watered,0,0,593,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,8,Ambient_HW,Drought,0,0,565,396,816,421,170,40
Picea engelmannii,Engelman Spruce,PIEN,8,Ambient_HW,Watered,0,0,685,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,9,Ambient,Drought,0,0,456,313,676,363,144,40
Picea engelmannii,Engelman Spruce,PIEN,9,Ambient,Watered,0,0,540,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,9,Ambient_HW,Drought,0,0,535,396,816,421,139,33
Picea engelmannii,Engelman Spruce,PIEN,9,Ambient_HW,Watered,0,0,640,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,10,Ambient,Drought,0,0,433,313,676,363,120,33
Picea engelmannii,Engelman Spruce,PIEN,10,Ambient,Watered,0,0,627,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,10,Ambient_HW,Drought,0,0,511,396,816,421,115,27
Picea engelmannii,Engelman Spruce,PIEN,10,Ambient_HW,Watered,0,0,756,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,11,Ambient,Drought,0,0,408,313,676,363,96,26
Picea engelmannii,Engelman Spruce,PIEN,11,Ambient,Watered,0,0,575,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,11,Ambient_HW,Drought,0,0,487,396,816,421,92,22
Picea engelmannii,Engelman Spruce,PIEN,11,Ambient_HW,Watered,0,0,707,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,12,Ambient,Drought,0,0,391,313,676,363,78,22
Picea engelmannii,Engelman Spruce,PIEN,12,Ambient,Watered,0,0,601,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,12,Ambient_HW,Drought,0,0,471,396,816,421,75,18
Picea engelmannii,Engelman Spruce,PIEN,12,Ambient_HW,Watered,0,0,720,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,13,Ambient,Drought,0,0,NA,313,676,363,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,13,Ambient,Watered,0,0,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,13,Ambient_HW,Drought,0,0,NA,396,816,421,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,13,Ambient_HW,Watered,0,0,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,14,Ambient,Drought,0,0,370,313,676,363,56,15
Picea engelmannii,Engelman Spruce,PIEN,14,Ambient,Watered,0,0,614,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,14,Ambient_HW,Drought,0,0,446,396,816,421,51,12
Picea engelmannii,Engelman Spruce,PIEN,14,Ambient_HW,Watered,0,0,741,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,15,Ambient,Drought,0,0,358,313,676,363,46,13
Picea engelmannii,Engelman Spruce,PIEN,15,Ambient,Watered,0,0,575,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,15,Ambient_HW,Drought,0,0,437,396,816,421,41,10
Picea engelmannii,Engelman Spruce,PIEN,15,Ambient_HW,Watered,0,0,689,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,16,Ambient,Drought,0,0,349,313,676,363,37,10
Picea engelmannii,Engelman Spruce,PIEN,16,Ambient,Watered,0,0,626,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,16,Ambient_HW,Drought,0,0,427,396,816,421,32,7
