ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Porometer_Est,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
Pinus edulis,Pinyon Pine,PIED,14,Ambient_HW,Watered,0,0,172.233333333333,22.6,32.0666666666667,13.8333333333333
Pinus edulis,Pinyon Pine,PIED,15,Ambient,Drought,8,40,58.2,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,15,Ambient,Watered,0,0,157.533333333333,21.9333333333333,32.3333333333333,13.4666666666667
Pinus edulis,Pinyon Pine,PIED,15,Ambient_HW,Drought,7,35,42.28,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,15,Ambient_HW,Watered,0,0,148.3,21.9333333333333,31.0666666666667,12.9
Pinus edulis,Pinyon Pine,PIED,16,Ambient,Drought,8,40,55.06,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,16,Ambient,Watered,0,0,94.8,19.8666666666667,21.5666666666667,8.8
Pinus edulis,Pinyon Pine,PIED,16,Ambient_HW,Drought,8,40,33.03,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,16,Ambient_HW,Watered,0,0,88.8333333333333,20.4,22.5,9.46666666666667
Pinus edulis,Pinyon Pine,PIED,17,Ambient,Drought,9,45,42.86,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,17,Ambient,Watered,0,0,139.633333333333,19.1666666666667,30.0333333333333,12.9
Pinus edulis,Pinyon Pine,PIED,17,Ambient_HW,Drought,10,50,38.67,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,17,Ambient_HW,Watered,0,0,147.8,18.9333333333333,31.3,13.2333333333333
Pinus edulis,Pinyon Pine,PIED,18,Ambient,Drought,10,50,13.14,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,18,Ambient,Watered,0,0,50.3333333333333,21.6,14.1,5.26666666666667
Pinus edulis,Pinyon Pine,PIED,18,Ambient_HW,Drought,10,50,5.4,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,18,Ambient_HW,Watered,0,0,58.8666666666667,21.4,16.0333333333333,6.16666666666667
Pinus edulis,Pinyon Pine,PIED,19,Ambient,Drought,10,50,0,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,19,Ambient_HW,Drought,10,50,0,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,20,Ambient,Drought,10,50,0,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,20,Ambient_HW,Drought,10,50,0,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,21,Ambient,Drought,10,50,0,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,21,Ambient,Watered,0,0,201.333333333333,19.3666666666667,34.1,14.4
Pinus edulis,Pinyon Pine,PIED,21,Ambient_HW,Drought,10,50,0,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,21,Ambient_HW,Watered,0,0,118.033333333333,19.6666666666667,28.1,11.7666666666667
Pinus edulis,Pinyon Pine,PIED,22,Ambient,Drought,10,50,0,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,22,Ambient_HW,Drought,10,50,0,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,1,Ambient,Drought,0,0,218.27,23.66,42,18.8
Picea engelmannii,Engelman Spruce,PIEN,1,Ambient,Watered,0,0,152.6,23.6,36.4666666666667,16.2666666666667
Picea engelmannii,Engelman Spruce,PIEN,1,Ambient_HW,Drought,0,0,218.15,23.44,42.06,18.82
Picea engelmannii,Engelman Spruce,PIEN,1,Ambient_HW,Watered,0,0,236.566666666667,23.1333333333333,43.7666666666667,19.3666666666667
Picea engelmannii,Engelman Spruce,PIEN,2,Ambient,Drought,0,0,207.34,25.15,40.51,18.84
