Phase,Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
1,PIEN,PIEN01,1.0,766,NA,10,alive
1,PIEN,PIEN01,1.5,NA,NA,10,alive
1,PIEN,PIEN01,10.0,743,NA,10,alive
1,PIEN,PIEN01,10.5,NA,NA,10,alive
1,PIEN,PIEN01,11.0,692,NA,10,alive
1,PIEN,PIEN01,11.5,NA,NA,10,alive
1,PIEN,PIEN01,12.0,699,NA,10,alive
1,PIEN,PIEN01,12.5,NA,NA,10,alive
1,PIEN,PIEN01,13.0,NA,NA,NA,alive
1,PIEN,PIEN01,13.5,NA,NA,10,alive
1,PIEN,PIEN01,14.0,737,NA,10,alive
1,PIEN,PIEN01,14.5,NA,NA,10,alive
1,PIEN,PIEN01,15.0,688,NA,10,alive
1,PIEN,PIEN01,15.5,NA,NA,NA,alive
1,PIEN,PIEN01,16.0,740,NA,10,alive
1,PIEN,PIEN01,16.5,NA,NA,10,alive
1,PIEN,PIEN01,17.0,679,NA,25,alive
1,PIEN,PIEN01,17.5,NA,NA,25,alive
1,PIEN,PIEN01,18.0,733,NA,25,alive
1,PIEN,PIEN01,18.5,NA,NA,10,alive
1,PIEN,PIEN01,19.0,674,NA,25,alive
1,PIEN,PIEN01,19.5,NA,NA,10,alive
1,PIEN,PIEN01,2.0,795,NA,10,alive
1,PIEN,PIEN01,2.5,NA,NA,10,alive
1,PIEN,PIEN01,20.0,707,NA,10,alive
1,PIEN,PIEN01,20.5,NA,NA,10,alive
1,PIEN,PIEN01,21.0,647,NA,10,alive
1,PIEN,PIEN01,21.5,NA,NA,10,alive
1,PIEN,PIEN01,22.0,766,NA,10,alive
1,PIEN,PIEN01,22.5,NA,NA,25,alive
1,PIEN,PIEN01,23.0,704,NA,25,alive
1,PIEN,PIEN01,23.5,NA,NA,NA,alive
1,PIEN,PIEN01,24.0,721,NA,10,alive
1,PIEN,PIEN01,3.0,764,NA,10,alive
1,PIEN,PIEN01,3.5,NA,NA,10,alive
1,PIEN,PIEN01,4.0,789,NA,10,alive
1,PIEN,PIEN01,4.5,NA,NA,NA,alive
1,PIEN,PIEN01,5.0,798,NA,10,alive
1,PIEN,PIEN01,5.5,NA,NA,10,alive
1,PIEN,PIEN01,6.0,796,NA,10,alive
1,PIEN,PIEN01,6.5,NA,NA,10,alive
1,PIEN,PIEN01,7.0,762,NA,10,alive
1,PIEN,PIEN01,7.5,NA,NA,10,alive
1,PIEN,PIEN01,8.0,662,NA,10,alive
1,PIEN,PIEN01,8.5,NA,NA,10,alive
1,PIEN,PIEN01,9.0,621,NA,10,alive
1,PIEN,PIEN01,9.5,NA,NA,10,alive
1,PIEN,PIEN02,1.0,794,NA,10,alive
1,PIEN,PIEN02,1.5,NA,NA,10,alive
1,PIEN,PIEN02,10.0,734,NA,10,alive
1,PIEN,PIEN02,10.5,NA,NA,10,alive
1,PIEN,PIEN02,11.0,685,NA,10,alive
1,PIEN,PIEN02,11.5,NA,NA,10,alive
1,PIEN,PIEN02,12.0,688,NA,10,alive
1,PIEN,PIEN02,12.5,NA,NA,10,alive
1,PIEN,PIEN02,13.0,NA,NA,NA,alive
1,PIEN,PIEN02,13.5,NA,NA,10,alive
1,PIEN,PIEN02,14.0,720,NA,10,alive
1,PIEN,PIEN02,14.5,NA,NA,10,alive
1,PIEN,PIEN02,15.0,662,NA,10,alive
1,PIEN,PIEN02,15.5,NA,NA,10,alive
1,PIEN,PIEN02,16.0,735,NA,10,alive
1,PIEN,PIEN02,16.5,NA,NA,10,alive
1,PIEN,PIEN02,17.0,674,NA,10,alive
1,PIEN,PIEN02,17.5,NA,NA,10,alive
1,PIEN,PIEN02,18.0,733,NA,10,alive
1,PIEN,PIEN02,18.5,NA,NA,10,alive
1,PIEN,PIEN02,19.0,688,NA,10,alive
1,PIEN,PIEN02,19.5,NA,NA,10,alive
1,PIEN,PIEN02,2.0,797,NA,10,alive
1,PIEN,PIEN02,2.5,NA,NA,10,alive
1,PIEN,PIEN02,20.0,733,NA,10,alive
1,PIEN,PIEN02,20.5,NA,NA,10,alive
