Phase,Chamber,Kestrel,Heatwave,Time,Temperature_C,WetBulb_C,PercentRH,Barometer_MB,Altitude_M,StationPressure_MB,WindSpeed_M/S,HeatIndex_C,DewPoint_C,DensityAltitude_M,WindChill_C
1,3,2,no,9/23/2021 0:00,11.6,11.2,96.7,930,714,930.1,0,12,11.1,817,11.6
1,3,2,no,9/23/2021 0:30,11.1,10.7,96.4,930.2,713,930.2,0,11.5,10.6,798,11.1
1,3,2,no,9/23/2021 1:00,9.7,9,92.7,930.5,710,930.6,0,9.8,8.5,733,9.6
1,3,2,no,9/23/2021 1:30,9.8,9.3,94.5,930.7,708,930.8,0,10.1,9,738,9.8
1,3,2,no,9/23/2021 2:00,9.5,9,95,930.4,711,930.4,0,9.7,8.7,729,9.4
1,3,2,no,9/23/2021 2:30,9.8,9.3,95.2,930.2,713,930.3,0,10,9,742,9.7
1,3,2,no,9/23/2021 3:00,9,8.3,93,930.2,714,930.2,0,9.1,7.9,711,8.9
1,3,2,no,9/23/2021 3:30,8.1,7.5,92,930,715,930,0,8.3,6.9,679,8.1
1,3,2,no,9/23/2021 4:00,7.3,6.7,93.8,930,714,930.1,0,7.4,6.3,645,7.2
1,3,2,no,9/23/2021 4:30,6.7,6.2,94.1,930,715,930,0,6.8,5.8,623,6.6
1,3,2,no,9/23/2021 5:00,5.9,5.2,92.4,930,715,930,0,5.9,4.7,590,5.8
1,3,2,no,9/23/2021 5:30,5,4.3,91.9,930.5,710,930.5,0,5,3.8,550,4.9
1,3,2,no,9/23/2021 6:00,4.3,3.6,90,930.7,709,930.7,0,4.3,2.8,520,4.3
1,3,2,no,9/23/2021 6:30,4,3.4,92.6,931,706,931,0,4.1,2.9,507,4
1,3,2,no,9/23/2021 7:00,5,4.5,94.6,931,706,931.1,0,5,4.2,543,4.9
1,3,2,no,9/23/2021 7:30,7.6,7.4,99.4,930.7,707,930.8,0,7.8,7.5,651,7.5
1,3,2,no,9/23/2021 8:00,7.3,6.8,93.3,930.7,707,930.9,0,7.4,6.3,638,7.3
1,3,2,no,9/23/2021 8:30,9.4,9.2,98.3,930.7,708,930.7,0,9.7,9.1,723,9.3
1,3,2,no,9/23/2021 9:00,10,9.7,97,930.9,706,930.9,0,10.3,9.6,746,10
1,3,2,no,9/23/2021 9:30,12.9,12.8,99.1,931,706,931.1,0,13.4,12.8,860,12.9
1,3,2,no,9/23/2021 10:00,12.8,12.6,99.2,931.5,702,931.5,0,13.2,12.6,849,12.7
1,3,2,no,9/23/2021 10:30,14.1,14,99.5,931.5,701,931.5,0,14.7,14.1,904,14.1
1,3,2,no,9/23/2021 11:00,15.9,15.7,99.5,931.5,702,931.5,0,16.5,15.8,973,15.8
1,3,2,no,9/23/2021 11:30,16.9,16.8,99.7,931.2,704,931.3,0,17.7,16.9,1018,16.9
1,3,2,no,9/23/2021 12:00,18,17.9,99.6,930.7,707,930.8,0,18.7,17.9,1066,17.9
