Phase,Chamber,Kestrel,Heatwave,Time,Temperature_C,WetBulb_C,PercentRH,Barometer_MB,Altitude_M,StationPressure_MB,WindSpeed_M/S,HeatIndex_C,DewPoint_C,DensityAltitude_M,WindChill_C
1,3,1,no,9/23/2021 0:00,11.8,10.8,89.4,931.5,701,931.5,0.3,11.8,10.1,803,11.7
1,3,1,no,9/23/2021 0:30,10.3,9.4,90.6,931.5,702,931.5,0,10.4,8.8,746,10.2
1,3,1,no,9/23/2021 1:00,10.3,9.7,93.2,931.7,700,931.7,0,10.4,9.2,745,10.2
1,3,1,no,9/23/2021 1:30,10.1,9.4,91.5,931.2,703,931.3,0.3,10.3,8.8,742,10.1
1,3,1,no,9/23/2021 2:00,10.3,9.6,92,931.2,703,931.3,0,10.4,9,750,10.2
1,3,1,no,9/23/2021 2:30,9.6,8.9,91.2,931,704,931.1,0,9.8,8.3,725,9.6
1,3,1,no,9/23/2021 3:00,8.8,8,90.7,930.7,707,930.8,0.3,8.8,7.3,695,8.7
1,3,1,no,9/23/2021 3:30,7.8,7.2,92.8,930.7,709,930.7,0,8,6.7,659,7.8
1,3,1,no,9/23/2021 4:00,7.4,6.8,91.9,930.4,712,930.4,0,7.6,6.2,646,7.4
1,3,1,no,9/23/2021 4:30,6.5,5.9,91.6,930.4,712,930.4,0,6.6,5.2,611,6.5
1,3,1,no,9/23/2021 5:00,5.6,5,91,930.7,709,930.6,0,5.7,4.3,574,5.6
1,3,1,no,9/23/2021 5:30,5,4.1,88.7,930.7,708,930.7,0,5,3.3,548,5
1,3,1,no,9/23/2021 6:00,4.7,4.1,91.2,930.9,707,930.9,0,4.7,3.4,534,4.7
1,3,1,no,9/23/2021 6:30,5.7,5,90.8,931.2,704,931.2,0,5.8,4.3,570,5.7
1,3,1,no,9/23/2021 7:00,8.3,7.9,94.2,931.2,704,931.3,0,8.5,7.5,674,8.3
1,3,1,no,9/23/2021 7:30,8.3,7.3,88,931.2,703,931.4,0,8.3,6.4,669,8.3
1,3,1,no,9/23/2021 8:00,10.3,9.8,94.1,931.7,700,931.7,0,10.5,9.4,746,10.2
1,3,1,no,9/23/2021 8:30,10.8,10.1,91.9,932,696,932.1,0,11,9.6,762,10.8
1,3,1,no,9/23/2021 9:00,13.5,12.6,90.7,932.5,692,932.5,0.3,13.7,12,862,13.5
1,3,1,no,9/23/2021 9:30,13.6,13,93.9,933.2,687,933.2,0,13.9,12.6,860,13.5
1,3,1,no,9/23/2021 10:00,15,14.3,93,933.4,684,933.4,0,15.4,13.9,914,15
1,3,1,no,9/23/2021 10:30,16.6,15.8,93.1,933.5,684,933.5,0.3,16.9,15.4,974,16.5
1,3,1,no,9/23/2021 11:00,17.6,17,94.1,933.4,684,933.4,0,18.1,16.7,1019,17.6
1,3,1,no,9/23/2021 11:30,18.9,18.1,93,933.2,686,933.2,0.3,19.3,17.7,1069,18.8
1,3,1,no,9/23/2021 12:00,20.1,19.2,92.8,932.9,689,932.9,0,20.8,18.9,1122,20.1
1,3,1,no,9/23/2021 12:30,19.6,18.4,89.7,932.7,690,932.8,0.3,20,17.9,1100,19.5
1,3,1,no,9/23/2021 13:00,19.1,18.1,91.2,932.2,696,932.2,0,19.6,17.6,1089,19.1
1,3,1,no,9/23/2021 13:30,18.5,17.7,92.7,931.7,700,931.8,0,19,17.3,1070,18.5
1,3,1,no,9/23/2021 14:00,17.8,16.8,91.2,931.5,700,931.6,0.3,18.1,16.3,1043,17.8
1,3,1,no,9/23/2021 14:30,17.1,16.2,91.6,931,706,931,0.3,17.3,15.7,1021,17
1,3,1,no,9/23/2021 15:00,16.6,15.6,90.1,930.2,713,930.2,0.3,16.9,15,1011,16.6
1,3,1,no,9/23/2021 15:30,15.9,14.8,90,929.7,718,929.7,0,16.1,14.2,987,15.8
