Species,SpeciesID,week_1.0,week_1.5,week_2.0,week_2.5,week_3.0,week_3.5,week_4.0,week_4.5,week_5.0,week_5.5,week_6.0,week_6.5,week_7.0,week_7.5,week_8.0,week_8.5,week_9.0,week_9.5,week_10.0,week_10.5,week_11.0,week_11.5,week_12.0,week_12.5,week_13.0,week_13.5,week_14.0,week_14.5,week_15.0,week_15.5,week_16.0,week_16.5,week_17.0,week_17.5,week_18.0,week_18.5,week_19.0,week_19.5,week_20.0,week_20.5,week_21.0,week_21.5,week_22.0,week_22.5,week_23.0,week_23.5,week_24.0
PSME,PSME11,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,25%,50%,50%,75%,50%,50%,25%,75%,75%,75%,75%,75%,X,X,X,X
PSME,PSME12,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,50%,25%,25%,50%,75%,NA,90%,90%,90%,90%,90%,75%,90%,90%,90%,90%,X,X,X,X,X,X
PSME,PSME13,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,10%,NA,75%,90%,75%,75%,75%,75%,75%,90%,90%,90%,X,X,X,X,X,X
PSME,PSME14,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,25%,25%,50%,25%,25%,25%,50%,50%,X,X
PSME,PSME15,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,25%,25%,50%,25%,NA,50%,75%,75%,75%,75%,75%,50%,75%,75%,75%,X,X,X,X,X,X
PSME,PSME16,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,50%,75%,75%,75%,50%,75%,75%,X,X
PSME,PSME17,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,10%,25%,10%,NA,NA,75%,50%,75%,75%,50%,75%,75%,90%,90%,X,X,X,X,X,X
PSME,PSME18,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,50%,25%,25%,50%,50%,NA,50%,50%,50%,50%,75%,75%,75%,75%,90%,90%,X,X,X,X,X,X
PSME,PSME19,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,50%,NA,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X,X
PSME,PSME20,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,25%,50%,50%,50%,50%,50%,75%,50%,90%,X,X,X,X,X,X
PSME,PSME21,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,75%,NA,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X,X
PSME,PSME22,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,50%,25%,25%,50%,50%,NA,90%,90%,90%,90%,90%,75%,75%,75%,90%,90%,X,X,X,X,X,X
PSME,PSME23,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%
PSME,PSME24,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,10%,NA,25%,50%,50%,50%,75%,75%,75%,75%,75%,90%,X,X,X,X,X,X
PSME,PSME25,10%,10%,10%,10%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,NA,10%,10%,25%,50%,25%,25%,25%,25%,50%,50%,50%,50%,50%,75%,X,X
PSME,PSME26,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PSME,PSME27,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,10%,25%,10%,25%
PSME,PSME28,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,10%
PSME,PSME29,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,25%
PSME,PSME30,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%
PSME,PSME31,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,25%,25%,50%,50%,50%,50%,75%,X,X
PSME,PSME32,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,10%,25%,25%,50%,NA,75%,90%,90%,90%,75%,75%,75%,75%,90%,90%,X,X,X,X,X,X
PSME,PSME33,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,25%,75%,75%,75%,75%,75%,75%,75%,75%,90%,X,X,X,X,X,X
PSME,PSME34,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,25%,50%,75%,75%,50%,75%,75%,75%,75%,90%,X,X,X,X,X,X
PSME,PSME35,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,25%,25%,50%,50%,50%,50%,75%,X,X
PSME,PSME36,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,50%,25%,50%
PSME,PSME37,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,50%,75%,75%,75%,90%,90%,75%,90%,90%,90%,X,X,X,X,X,X
PSME,PSME38,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,25%,25%,50%,50%,50%,50%,50%,50%,75%,75%,75%,X,X,X,X
PSME,PSME39,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,25%,25%,50%,50%,75%,50%,75%,X,X
PSME,PSME40,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,50%,50%,75%,50%,75%,75%,75%,X,X
PSME,PSME41,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,25%,50%,75%,50%,50%,50%,75%,75%,90%,X,X,X,X,X,X
PSME,PSME42,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,25%,50%,50%,25%,50%,25%,50%,50%,75%,75%,75%,75%,75%,X,X
PSME,PSME43,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,50%,25%,50%
PSME,PSME44,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,25%,25%,10%,NA,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%
PSME,PSME45,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,25%,75%,75%,75%,90%,75%,75%,90%,90%,X,X,X,X,X,X
PSME,PSME46,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,X,X
PSME,PSME47,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,50%,90%,50%,50%,90%,90%,90%,90%,90%,90%,X,X,X,X,X,X
PSME,PSME48,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,25%,25%,50%,50%,50%,50%,75%,X,X
PSME,PSME49,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,50%,50%,75%,NA,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME50,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,50%,75%,75%,50%,50%,50%,75%,75%,75%,75%,75%,X,X,X,X
